 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : MYFIR_PIPED_UNFOLDED
Version: O-2018.06-SP4
Date   : Tue Nov 17 14:31:22 2020
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
MYFIR_PIPED_UNFOLDED   5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
load_buff                     40.184    0.274    0.0406      0.9863  a
load_out                      52.701    0.274    0.0178      0.5681  a
DATAPATH_n1                   39.718    0.091    0.0184      0.4413  a
DATAPATH_n2                   39.718    0.091    0.0184      0.4413  a
DATAPATH_result_reg_0_n25     35.119    0.091    0.0184      0.3902  a
DATAPATH_result_reg_1_n25     35.119    0.091    0.0184      0.3902  a
DATAPATH_result_reg_2_n25     35.119    0.091    0.0184      0.3902  a
DATAPATH_out_cnt_mux[0]       30.731    0.092    0.0184      0.3415  a
DATAPATH_out_cnt_mux[1]       26.345    0.092    0.0184      0.2927  a
DATAPATH_pipe1_state0_0_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_1_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_2_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_3_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_4_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_5_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_6_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_7_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state0_8_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_0_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_1_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_2_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_3_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_4_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_5_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_6_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_7_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state1_8_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_0_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_1_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_2_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_3_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_4_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_5_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_6_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_7_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_pipe1_state2_8_n25   25.284    0.091    0.0184      0.2809  a
DATAPATH_state_0_0_n25        25.284    0.090    0.0184      0.2809  a
DATAPATH_state_0_1_n25        25.284    0.090    0.0184      0.2809  a
DATAPATH_state_0_2_n25        25.284    0.090    0.0184      0.2809  a
DATAPATH_state_1_0_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_1_1_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_1_2_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_1_3_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_2_0_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_2_1_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_2_2_n25        25.284    0.091    0.0184      0.2809  a
DATAPATH_state_2_3_n25        25.284    0.091    0.0184      0.2809  a
CU_INPUTS_n10                 11.992    0.567    0.0345      0.2506  a
CU_INPUTS_n27                 10.246    0.724    0.0397      0.2464  a
CU_INPUTS_state[0]             9.701    0.677    0.0418      0.2454  a
DATAPATH_cnt_in_n2             8.247    0.726    0.0406      0.2024  a
CU_INPUTS_n5                   9.600    0.567    0.0345      0.2006  a
DATAPATH_out_mux_n10          16.998    0.816    0.0184      0.1889  a
CU_INPUTS_n13                  6.049    0.251    0.0463      0.1695  a
DATAPATH_n22                   6.043    0.725    0.0441      0.1614  a
CU_INPUTS_n6                   6.068    0.323    0.0418      0.1535  a
DATAPATH_load_state1          11.819    0.091    0.0184      0.1313  a
DATAPATH_load_state2          11.819    0.091    0.0184      0.1313  a
CU_INPUTS_n22                  6.129    0.455    0.0329      0.1220  a
DATAPATH_load_state0           8.480    0.091    0.0228      0.1167  a
en_cnt_mux                    10.464    0.275    0.0178      0.1128  a
CU_INPUTS_state[2]             8.248    0.142    0.0225      0.1122  a
CU_INPUTS_n8                   3.990    0.749    0.0463      0.1118  a
CU_INPUTS_n18                  3.994    0.652    0.0445      0.1076  a
DATAPATH_state_vector[27]     34.956    0.462    0.0051      0.1072  a
DATAPATH_state_vector[28]     34.956    0.462    0.0051      0.1072  a
CU_INPUTS_n3                   3.889    0.348    0.0445      0.1048  a
DATAPATH_state_vector[18]     34.956    0.500    0.0049      0.1044  a
DATAPATH_state_vector[21]     34.956    0.500    0.0049      0.1044  a
DATAPATH_state_vector[42]     34.956    0.428    0.0049      0.1044  a
DATAPATH_state_vector[45]     34.956    0.428    0.0049      0.1044  a
DATAPATH_state_vector[51]     34.956    0.410    0.0049      0.1044  a
DATAPATH_state_vector[52]     34.956    0.410    0.0049      0.1044  a
DATAPATH_state_vector[31]     34.956    0.465    0.0048      0.1015  a
DATAPATH_state_vector[34]     34.956    0.474    0.0048      0.1015  a
DATAPATH_state_vector[37]     34.956    0.474    0.0048      0.1015  a
DATAPATH_state_vector[38]     34.956    0.466    0.0048      0.1015  a
DATAPATH_state_vector[22]     34.956    0.506    0.0047      0.0986  a
DATAPATH_state_vector[30]     34.956    0.471    0.0047      0.0986  a
DATAPATH_state_vector[46]     34.956    0.406    0.0047      0.0986  a
DATAPATH_state_vector[54]     34.956    0.410    0.0047      0.0986  a
DATAPATH_state_vector[55]     34.956    0.428    0.0047      0.0986  a
DATAPATH_state_vector[58]     34.956    0.460    0.0047      0.0986  a
DATAPATH_state_vector[61]     34.956    0.460    0.0047      0.0986  a
DATAPATH_state_vector[62]     34.956    0.485    0.0047      0.0986  a
DATAPATH_state_vector[35]     34.956    0.487    0.0045      0.0957  a
DATAPATH_state_vector[36]     34.956    0.487    0.0045      0.0957  a
DATAPATH_state_vector[59]     34.956    0.466    0.0045      0.0957  a
DATAPATH_state_vector[60]     34.956    0.466    0.0045      0.0957  a
DATAPATH_state_vector[66]     32.470    0.415    0.0048      0.0942  a
DATAPATH_state_vector[69]     32.470    0.415    0.0048      0.0942  a
DATAPATH_n3                    8.480    0.091    0.0184      0.0942  a
CU_INPUTS_n9                   4.011    0.204    0.0388      0.0941  a
tc_ack_in                      8.328    0.091    0.0184      0.0925  a
DATAPATH_cnt_out[1]            8.298    0.683    0.0182      0.0915  a
DATAPATH_state_vector[39]     34.956    0.476    0.0042      0.0899  a
DATAPATH_state_vector[63]     34.956    0.439    0.0042      0.0899  a
CU_INPUTS_n15                  3.939    0.766    0.0373      0.0889  a
DATAPATH_state_vector[70]     32.470    0.377    0.0045      0.0889  a
DATAPATH_pipe1_state0_0_n26    7.923    0.091    0.0184      0.0880  a
DATAPATH_pipe1_state0_1_n26    7.923    0.091    0.0184      0.0880  a
DATAPATH_pipe1_state0_2_n26    7.923    0.091    0.0184      0.0880  a
DATAPATH_pipe1_state0_3_n26    7.923    0.091    0.0184      0.0880  a
DATAPATH_pipe1_state0_4_n26    7.923    0.091    0.0184      0.0880  a
DATAPATH_pipe1_state0_5_n26    7.923    0.091    0.0184      0.0880  a
DATAPATH_pipe1_state0_6_n26    7.923    0.091    0.0184      0.0880  a
